Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,
291,1,,,,,,,,,,,,,,,,,
292,1,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,
295,1,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,
297,1,1,,,,,,,,,,,,,,,,
298,1,1,0,,,,,,,,,,,,,,,
299,1,0,,,,,,,,,,,,,,,,
300,1,0,,,,,,,,,,,,,,,,
301,1,,,,,,,,,,,,,,,,,
302,1,0,0,1,0,0,0,0,0,0,,,,,,,,
303,0,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,
305,1,0,,,,,,,,,,,,,,,,
306,1,0,,,,,,,,,,,,,,,,
307,0,1,1,0,,,,,,,,,,,,,,
308,0,0,,,,,,,,,,,,,,,,
309,1,0,,,,,,,,,,,,,,,,
310,0,,,,,,,,,,,,,,,,,
311,0,0,0,0,,,,,,,,,,,,,,
312,1,1,,,,,,,,,,,,,,,,
313,1,1,1,1,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,
315,1,1,0,,,,,,,,,,,,,,,
316,0,0,0,0,0,,,,,,,,,,,,,
317,1,1,1,,,,,,,,,,,,,,,
318,0,,,,,,,,,,,,,,,,,
319,1,1,1,1,0,0,,,,,,,,,,,,
320,1,1,,,,,,,,,,,,,,,,
321,0,,,,,,,,,,,,,,,,,
322,1,0,,,,,,,,,,,,,,,,
323,0,,,,,,,,,,,,,,,,,
324,0,1,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,
326,1,,,,,,,,,,,,,,,,,
327,0,,,,,,,,,,,,,,,,,
328,1,,,,,,,,,,,,,,,,,
329,1,,,,,,,,,,,,,,,,,
330,0,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,
332,0,0,0,,,,,,,,,,,,,,,
333,1,,,,,,,,,,,,,,,,,
334,1,,,,,,,,,,,,,,,,,
335,1,,,,,,,,,,,,,,,,,
336,1,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,
338,0,,,,,,,,,,,,,,,,,
339,1,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,
341,1,,,,,,,,,,,,,,,,,
342,1,1,1,1,1,0,0,0,,,,,,,,,,
343,1,0,,,,,,,,,,,,,,,,
344,1,1,1,,,,,,,,,,,,,,,
345,0,0,0,0,0,0,0,,,,,,,,,,,
346,1,1,1,0,,,,,,,,,,,,,,
347,1,1,,,,,,,,,,,,,,,,
348,1,,,,,,,,,,,,,,,,,
349,1,0,0,0,0,,,,,,,,,,,,,
350,1,1,,,,,,,,,,,,,,,,
351,1,1,0,,,,,,,,,,,,,,,
352,1,1,,,,,,,,,,,,,,,,
353,1,0,0,,,,,,,,,,,,,,,
354,1,1,,,,,,,,,,,,,,,,
355,1,1,1,1,1,1,1,,,,,,,,,,,
356,0,0,,,,,,,,,,,,,,,,
357,1,1,0,1,,,,,,,,,,,,,,
358,1,,,,,,,,,,,,,,,,,
359,1,0,1,,,,,,,,,,,,,,,
360,1,1,,,,,,,,,,,,,,,,
361,1,1,1,,,,,,,,,,,,,,,
362,1,0,,,,,,,,,,,,,,,,
363,1,,,,,,,,,,,,,,,,,
364,1,1,,,,,,,,,,,,,,,,
365,1,,,,,,,,,,,,,,,,,
366,1,0,0,,,,,,,,,,,,,,,
367,1,1,,,,,,,,,,,,,,,,
368,1,,,,,,,,,,,,,,,,,
369,1,1,1,,,,,,,,,,,,,,,
370,1,1,1,0,0,0,0,,,,,,,,,,,
371,1,1,1,0,,,,,,,,,,,,,,
372,1,,,,,,,,,,,,,,,,,
373,0,0,,,,,,,,,,,,,,,,
374,1,0,0,,,,,,,,,,,,,,,
375,0,0,0,,,,,,,,,,,,,,,
376,0,0,1,,,,,,,,,,,,,,,
377,1,1,,,,,,,,,,,,,,,,
378,1,1,0,0,0,,,,,,,,,,,,,
379,0,1,0,1,0,,,,,,,,,,,,,
380,1,,,,,,,,,,,,,,,,,
381,1,1,1,,,,,,,,,,,,,,,
382,1,1,0,,,,,,,,,,,,,,,
383,0,1,1,0,1,,,,,,,,,,,,,
384,1,1,1,0,0,0,0,,,,,,,,,,,
385,1,1,,,,,,,,,,,,,,,,
386,1,1,1,1,,,,,,,,,,,,,,
387,1,0,,,,,,,,,,,,,,,,
388,1,1,,,,,,,,,,,,,,,,
389,1,1,1,0,0,,,,,,,,,,,,,
390,1,1,1,0,0,0,,,,,,,,,,,,
391,1,,,,,,,,,,,,,,,,,
392,0,0,0,0,0,,,,,,,,,,,,,
393,0,1,1,1,,,,,,,,,,,,,,
394,1,1,1,1,,,,,,,,,,,,,,
395,1,1,1,1,0,,,,,,,,,,,,,
396,1,1,1,1,,,,,,,,,,,,,,
397,1,1,1,1,,,,,,,,,,,,,,
398,1,1,1,,,,,,,,,,,,,,,
399,1,1,1,1,0,,,,,,,,,,,,,
400,1,1,,,,,,,,,,,,,,,,
401,1,1,0,,,,,,,,,,,,,,,
402,0,,,,,,,,,,,,,,,,,
403,1,1,0,0,0,,,,,,,,,,,,,
404,1,1,1,,,,,,,,,,,,,,,
405,1,1,1,1,0,,,,,,,,,,,,,
406,1,1,1,1,,,,,,,,,,,,,,
407,1,0,0,,,,,,,,,,,,,,,
408,0,1,1,,,,,,,,,,,,,,,
409,0,0,0,0,0,,,,,,,,,,,,,
410,1,1,0,0,,,,,,,,,,,,,,
411,0,0,,,,,,,,,,,,,,,,
412,1,1,0,,,,,,,,,,,,,,,
413,1,1,1,,,,,,,,,,,,,,,
414,1,1,,,,,,,,,,,,,,,,
415,0,1,0,,,,,,,,,,,,,,,
416,1,0,,,,,,,,,,,,,,,,
417,1,,,,,,,,,,,,,,,,,
418,1,0,0,,,,,,,,,,,,,,,
419,1,,,,,,,,,,,,,,,,,
420,1,1,1,1,1,1,0,,,,,,,,,,,
421,1,1,1,0,0,0,,,,,,,,,,,,
422,1,1,1,0,,,,,,,,,,,,,,
423,1,1,,,,,,,,,,,,,,,,
424,1,1,,,,,,,,,,,,,,,,
425,0,,,,,,,,,,,,,,,,,
426,0,1,0,,,,,,,,,,,,,,,
427,0,0,1,,,,,,,,,,,,,,,
428,1,1,1,,,,,,,,,,,,,,,
429,1,,,,,,,,,,,,,,,,,
430,1,1,0,0,,,,,,,,,,,,,,
431,1,1,0,0,,,,,,,,,,,,,,
432,0,0,1,,,,,,,,,,,,,,,
433,1,,,,,,,,,,,,,,,,,
434,1,,,,,,,,,,,,,,,,,
435,1,1,1,1,,,,,,,,,,,,,,
436,1,1,0,,,,,,,,,,,,,,,
437,1,1,,,,,,,,,,,,,,,,
438,1,,,,,,,,,,,,,,,,,
439,1,1,,,,,,,,,,,,,,,,
440,1,1,0,0,,,,,,,,,,,,,,
441,1,1,0,,,,,,,,,,,,,,,
442,1,1,,,,,,,,,,,,,,,,
443,1,1,1,0,0,,,,,,,,,,,,,
444,1,1,,,,,,,,,,,,,,,,
445,1,1,0,0,,,,,,,,,,,,,,
446,1,1,0,0,0,,,,,,,,,,,,,
447,1,0,0,1,,,,,,,,,,,,,,
448,0,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,,
450,0,0,0,0,0,0,0,,,,,,,,,,,
451,1,1,,,,,,,,,,,,,,,,
452,1,1,1,1,1,,,,,,,,,,,,,
453,1,1,0,,,,,,,,,,,,,,,
454,1,1,1,1,1,,,,,,,,,,,,,
455,1,1,,,,,,,,,,,,,,,,
456,1,,,,,,,,,,,,,,,,,
457,0,0,,,,,,,,,,,,,,,,
458,1,1,1,1,0,,,,,,,,,,,,,
459,1,,,,,,,,,,,,,,,,,
460,1,1,0,,,,,,,,,,,,,,,
461,1,1,1,0,0,,,,,,,,,,,,,
462,1,,,,,,,,,,,,,,,,,
463,1,1,1,,,,,,,,,,,,,,,
464,1,,,,,,,,,,,,,,,,,
465,1,,,,,,,,,,,,,,,,,
466,1,1,1,,,,,,,,,,,,,,,
467,1,1,,,,,,,,,,,,,,,,
468,1,0,,,,,,,,,,,,,,,,
469,1,0,0,0,0,,,,,,,,,,,,,
470,1,1,0,,,,,,,,,,,,,,,
471,0,1,0,1,,,,,,,,,,,,,,
472,1,1,1,0,1,0,,,,,,,,,,,,
473,0,,,,,,,,,,,,,,,,,
474,1,,,,,,,,,,,,,,,,,
475,1,,,,,,,,,,,,,,,,,
476,1,,,,,,,,,,,,,,,,,
477,1,,,,,,,,,,,,,,,,,
478,1,0,0,,,,,,,,,,,,,,,
479,1,1,0,0,,,,,,,,,,,,,,
480,1,0,0,1,0,,,,,,,,,,,,,
481,1,,,,,,,,,,,,,,,,,
482,1,1,0,0,,,,,,,,,,,,,,
483,1,1,1,1,0,,,,,,,,,,,,,
484,0,0,0,,,,,,,,,,,,,,,
485,1,1,,,,,,,,,,,,,,,,
486,1,1,1,1,,,,,,,,,,,,,,
487,1,1,1,,,,,,,,,,,,,,,
488,1,1,1,,,,,,,,,,,,,,,
489,,,,,,,,,,,,,,,,,,
490,1,1,0,0,,,,,,,,,,,,,,
491,,,,,,,,,,,,,,,,,,
492,0,0,1,1,0,0,0,0,,,,,,,,,,
493,1,0,0,0,,,,,,,,,,,,,,
494,1,0,0,0,0,0,,,,,,,,,,,,
495,1,1,1,0,0,0,0,,,,,,,,,,,
496,1,1,0,0,0,0,0,0,,,,,,,,,,
497,1,1,1,0,,,,,,,,,,,,,,
498,0,0,0,,,,,,,,,,,,,,,
499,1,1,0,0,0,0,0,,,,,,,,,,,
500,1,1,1,1,,,,,,,,,,,,,,
501,1,0,0,,,,,,,,,,,,,,,
502,1,0,0,,,,,,,,,,,,,,,
503,1,0,1,,,,,,,,,,,,,,,
504,1,0,,,,,,,,,,,,,,,,
505,1,0,,,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,,,,,
507,1,0,0,,,,,,,,,,,,,,,
508,1,1,0,,,,,,,,,,,,,,,
