Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,
193,0,,,,,,,,,,,,,,,,,
194,1,1,1,1,1,1,,,,,,,,,,,,
195,1,1,,,,,,,,,,,,,,,,
196,1,1,1,1,,,,,,,,,,,,,,
197,1,,,,,,,,,,,,,,,,,
198,1,1,,,,,,,,,,,,,,,,
199,1,,,,,,,,,,,,,,,,,
200,0,0,0,,,,,,,,,,,,,,,
201,0,0,1,1,,,,,,,,,,,,,,
202,1,1,1,,,,,,,,,,,,,,,
203,1,1,,,,,,,,,,,,,,,,
204,1,1,1,0,,,,,,,,,,,,,,
205,1,1,1,1,,,,,,,,,,,,,,
206,0,0,1,,,,,,,,,,,,,,,
207,0,0,0,0,0,,,,,,,,,,,,,
208,0,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,
210,1,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,
212,1,,,,,,,,,,,,,,,,,
213,0,0,0,,,,,,,,,,,,,,,
214,1,,,,,,,,,,,,,,,,,
215,0,1,0,,,,,,,,,,,,,,,
216,0,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,
218,1,1,0,0,,,,,,,,,,,,,,
219,1,1,,,,,,,,,,,,,,,,
220,1,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,
222,1,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,
224,0,,,,,,,,,,,,,,,,,
225,0,,,,,,,,,,,,,,,,,
226,1,1,,,,,,,,,,,,,,,,
227,1,1,,,,,,,,,,,,,,,,
228,0,,,,,,,,,,,,,,,,,
229,0,0,,,,,,,,,,,,,,,,
230,0,0,0,0,1,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,
233,0,0,0,0,0,,,,,,,,,,,,,
234,0,0,,,,,,,,,,,,,,,,
235,1,,,,,,,,,,,,,,,,,
236,1,1,,,,,,,,,,,,,,,,
237,0,,,,,,,,,,,,,,,,,
238,1,1,1,,,,,,,,,,,,,,,
239,0,0,0,0,0,,,,,,,,,,,,,
240,1,,,,,,,,,,,,,,,,,
241,0,0,0,0,0,0,0,0,0,,,,,,,,,
242,0,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,
244,1,1,1,,,,,,,,,,,,,,,
245,1,,,,,,,,,,,,,,,,,
246,1,,,,,,,,,,,,,,,,,
247,1,1,,,,,,,,,,,,,,,,
248,0,,,,,,,,,,,,,,,,,
249,0,0,1,1,,,,,,,,,,,,,,
250,1,1,1,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,
252,1,1,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,
254,1,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,
257,1,1,1,1,,,,,,,,,,,,,,
258,1,,,,,,,,,,,,,,,,,
259,1,0,1,,,,,,,,,,,,,,,
260,1,1,,,,,,,,,,,,,,,,
261,1,1,,,,,,,,,,,,,,,,
262,0,,,,,,,,,,,,,,,,,
263,1,,,,,,,,,,,,,,,,,
264,1,,,,,,,,,,,,,,,,,
265,1,,,,,,,,,,,,,,,,,
266,1,1,1,1,,,,,,,,,,,,,,
267,1,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,
272,1,,,,,,,,,,,,,,,,,
273,0,0,0,0,0,1,,,,,,,,,,,,
274,1,1,0,,,,,,,,,,,,,,,
275,1,1,,,,,,,,,,,,,,,,
276,1,1,,,,,,,,,,,,,,,,
277,1,1,1,1,1,,,,,,,,,,,,,
278,0,0,,,,,,,,,,,,,,,,
279,1,1,1,,,,,,,,,,,,,,,
280,1,,,,,,,,,,,,,,,,,
281,1,,,,,,,,,,,,,,,,,
282,1,1,1,1,1,0,,,,,,,,,,,,
283,0,0,0,1,1,0,,,,,,,,,,,,
284,1,1,1,,,,,,,,,,,,,,,
285,1,1,1,1,1,,,,,,,,,,,,,
286,0,0,0,0,0,0,,,,,,,,,,,,
287,1,1,1,1,1,,,,,,,,,,,,,
288,1,1,0,0,,,,,,,,,,,,,,
289,1,0,0,0,0,0,,,,,,,,,,,,
290,1,1,1,1,1,1,1,1,1,0,,,,,,,,
291,1,1,1,1,,,,,,,,,,,,,,
292,1,0,0,0,0,0,0,0,0,,,,,,,,,
293,0,0,,,,,,,,,,,,,,,,
294,0,0,0,,,,,,,,,,,,,,,
295,1,,,,,,,,,,,,,,,,,
296,0,0,1,1,,,,,,,,,,,,,,
297,0,1,1,1,1,,,,,,,,,,,,,
298,0,0,0,,,,,,,,,,,,,,,
299,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
300,,,,,,,,,,,,,,,,,,
301,1,0,,,,,,,,,,,,,,,,
302,0,0,0,0,,,,,,,,,,,,,,
303,1,1,1,1,1,,,,,,,,,,,,,
304,0,0,0,0,0,,,,,,,,,,,,,
305,1,0,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,
307,0,0,1,,,,,,,,,,,,,,,
308,1,1,1,1,1,0,,,,,,,,,,,,
309,0,0,0,0,0,0,0,0,0,0,,,,,,,,
310,1,0,,,,,,,,,,,,,,,,
311,1,0,0,1,0,0,,,,,,,,,,,,
312,0,0,1,1,,,,,,,,,,,,,,
313,0,0,0,0,0,,,,,,,,,,,,,
314,0,1,0,,,,,,,,,,,,,,,
315,0,0,0,1,,,,,,,,,,,,,,
316,0,0,0,0,,,,,,,,,,,,,,
317,1,1,,,,,,,,,,,,,,,,
318,1,1,,,,,,,,,,,,,,,,
319,1,1,0,,,,,,,,,,,,,,,
320,0,0,0,0,0,,,,,,,,,,,,,
321,1,1,,,,,,,,,,,,,,,,
322,0,0,0,1,,,,,,,,,,,,,,
323,1,1,,,,,,,,,,,,,,,,
324,1,1,1,1,0,0,0,,,,,,,,,,,
325,1,1,,,,,,,,,,,,,,,,
326,1,1,1,1,,,,,,,,,,,,,,
327,1,,,,,,,,,,,,,,,,,
328,0,1,0,0,,,,,,,,,,,,,,
329,1,1,1,,,,,,,,,,,,,,,
330,0,0,0,,,,,,,,,,,,,,,
331,1,1,1,0,,,,,,,,,,,,,,
332,1,1,0,1,1,,,,,,,,,,,,,
333,0,1,,,,,,,,,,,,,,,,
334,0,0,0,0,,,,,,,,,,,,,,
335,1,,,,,,,,,,,,,,,,,
336,1,1,0,0,,,,,,,,,,,,,,
337,1,0,0,0,,,,,,,,,,,,,,
338,0,0,0,0,0,0,,,,,,,,,,,,
339,1,,,,,,,,,,,,,,,,,
340,1,1,1,1,1,1,1,1,1,,,,,,,,,
341,0,0,,,,,,,,,,,,,,,,
342,1,1,1,,,,,,,,,,,,,,,
343,1,0,,,,,,,,,,,,,,,,
344,1,1,1,1,1,,,,,,,,,,,,,
345,1,,,,,,,,,,,,,,,,,
346,1,1,1,1,1,0,1,1,1,,,,,,,,,
347,1,0,0,1,1,0,1,0,0,,,,,,,,,
348,0,0,0,0,0,,,,,,,,,,,,,
349,0,1,0,0,,,,,,,,,,,,,,
350,1,,,,,,,,,,,,,,,,,
351,0,,,,,,,,,,,,,,,,,
352,1,1,1,0,,,,,,,,,,,,,,
353,1,1,,,,,,,,,,,,,,,,
354,1,1,1,1,1,0,,,,,,,,,,,,
355,1,1,,,,,,,,,,,,,,,,
356,0,0,1,0,,,,,,,,,,,,,,
357,0,0,0,0,0,0,,,,,,,,,,,,
358,0,0,1,1,0,,,,,,,,,,,,,
359,0,0,0,,,,,,,,,,,,,,,
360,0,0,,,,,,,,,,,,,,,,
361,0,0,,,,,,,,,,,,,,,,
362,1,1,1,1,1,,,,,,,,,,,,,
363,0,0,0,0,0,,,,,,,,,,,,,
364,0,0,0,,,,,,,,,,,,,,,
365,1,1,,,,,,,,,,,,,,,,
366,1,0,,,,,,,,,,,,,,,,
367,0,0,0,,,,,,,,,,,,,,,
368,1,,,,,,,,,,,,,,,,,
369,1,0,,,,,,,,,,,,,,,,
370,0,0,,,,,,,,,,,,,,,,
371,1,0,0,0,0,,,,,,,,,,,,,
372,1,,,,,,,,,,,,,,,,,
373,1,1,,,,,,,,,,,,,,,,
374,1,0,,,,,,,,,,,,,,,,
375,1,,,,,,,,,,,,,,,,,
376,1,,,,,,,,,,,,,,,,,
377,1,1,1,,,,,,,,,,,,,,,
378,1,1,1,,,,,,,,,,,,,,,
379,1,,,,,,,,,,,,,,,,,
380,1,0,,,,,,,,,,,,,,,,
381,1,1,0,1,,,,,,,,,,,,,,
382,1,1,1,1,1,1,,,,,,,,,,,,
383,0,0,,,,,,,,,,,,,,,,
384,1,1,,,,,,,,,,,,,,,,
385,1,1,1,1,0,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,,,
387,0,1,1,1,0,0,0,1,0,,,,,,,,,
388,,,,,,,,,,,,,,,,,,
389,0,,,,,,,,,,,,,,,,,
390,1,1,1,1,,,,,,,,,,,,,,
391,1,0,,,,,,,,,,,,,,,,
392,1,,,,,,,,,,,,,,,,,
393,1,,,,,,,,,,,,,,,,,
394,1,1,0,,,,,,,,,,,,,,,
395,1,,,,,,,,,,,,,,,,,
396,1,1,,,,,,,,,,,,,,,,
397,1,1,1,,,,,,,,,,,,,,,
398,0,,,,,,,,,,,,,,,,,
399,1,,,,,,,,,,,,,,,,,
400,0,0,0,0,1,,,,,,,,,,,,,
401,1,,,,,,,,,,,,,,,,,
402,1,1,,,,,,,,,,,,,,,,
403,1,,,,,,,,,,,,,,,,,
404,1,1,1,,,,,,,,,,,,,,,
405,1,,,,,,,,,,,,,,,,,
406,1,1,1,0,,,,,,,,,,,,,,
407,1,1,1,,,,,,,,,,,,,,,
408,0,,,,,,,,,,,,,,,,,
409,0,1,1,,,,,,,,,,,,,,,
410,0,1,1,,,,,,,,,,,,,,,
411,1,,,,,,,,,,,,,,,,,
412,1,0,0,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,
414,0,,,,,,,,,,,,,,,,,
415,0,0,,,,,,,,,,,,,,,,
416,0,0,,,,,,,,,,,,,,,,
417,1,1,1,1,1,1,,,,,,,,,,,,
418,1,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,
420,0,0,0,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,
422,1,1,,,,,,,,,,,,,,,,
423,1,,,,,,,,,,,,,,,,,
424,1,,,,,,,,,,,,,,,,,
425,1,1,,,,,,,,,,,,,,,,
426,1,0,0,0,1,0,0,,,,,,,,,,,
427,1,1,1,1,0,0,,,,,,,,,,,,
428,1,1,,,,,,,,,,,,,,,,
429,1,,,,,,,,,,,,,,,,,
430,1,0,1,,,,,,,,,,,,,,,
431,1,1,,,,,,,,,,,,,,,,
432,0,0,0,,,,,,,,,,,,,,,
433,1,,,,,,,,,,,,,,,,,
434,0,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,
436,1,,,,,,,,,,,,,,,,,
437,1,1,1,,,,,,,,,,,,,,,
438,1,,,,,,,,,,,,,,,,,
439,1,,,,,,,,,,,,,,,,,
440,1,,,,,,,,,,,,,,,,,
441,1,1,,,,,,,,,,,,,,,,
442,1,1,0,1,1,1,,,,,,,,,,,,
443,0,1,1,,,,,,,,,,,,,,,
444,1,1,,,,,,,,,,,,,,,,
445,1,1,,,,,,,,,,,,,,,,
446,1,1,0,0,,,,,,,,,,,,,,
447,1,1,0,,,,,,,,,,,,,,,
448,1,1,,,,,,,,,,,,,,,,
449,0,0,0,0,0,0,,,,,,,,,,,,
450,1,1,1,1,,,,,,,,,,,,,,
451,1,0,0,,,,,,,,,,,,,,,
452,0,0,,,,,,,,,,,,,,,,
453,0,0,,,,,,,,,,,,,,,,
454,0,0,0,0,,,,,,,,,,,,,,
455,0,1,1,1,0,0,,,,,,,,,,,,
456,0,,,,,,,,,,,,,,,,,
457,0,0,,,,,,,,,,,,,,,,
458,1,1,1,,,,,,,,,,,,,,,
459,0,0,0,0,,,,,,,,,,,,,,
460,1,1,1,,,,,,,,,,,,,,,
461,1,0,,,,,,,,,,,,,,,,
462,0,1,1,1,,,,,,,,,,,,,,
463,1,0,0,0,,,,,,,,,,,,,,
464,1,0,1,,,,,,,,,,,,,,,
465,1,1,1,1,1,,,,,,,,,,,,,
466,0,0,0,0,,,,,,,,,,,,,,
467,0,0,,,,,,,,,,,,,,,,
468,1,0,0,,,,,,,,,,,,,,,
469,1,1,1,0,0,,,,,,,,,,,,,
470,0,0,0,0,,,,,,,,,,,,,,
471,1,1,1,1,1,1,0,,,,,,,,,,,
472,0,0,0,,,,,,,,,,,,,,,
473,1,1,1,0,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,,,
475,0,1,0,,,,,,,,,,,,,,,
476,0,1,1,,,,,,,,,,,,,,,
477,0,,,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,
480,0,,,,,,,,,,,,,,,,,
481,0,1,,,,,,,,,,,,,,,,
482,1,1,,,,,,,,,,,,,,,,
483,0,,,,,,,,,,,,,,,,,
484,1,1,1,1,,,,,,,,,,,,,,
485,1,1,,,,,,,,,,,,,,,,
486,1,,,,,,,,,,,,,,,,,
487,1,1,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,,
489,1,0,,,,,,,,,,,,,,,,
490,1,1,0,,,,,,,,,,,,,,,
491,1,0,,,,,,,,,,,,,,,,
492,1,1,1,,,,,,,,,,,,,,,
493,1,,,,,,,,,,,,,,,,,
494,1,1,,,,,,,,,,,,,,,,
495,0,,,,,,,,,,,,,,,,,
496,1,1,1,1,1,,,,,,,,,,,,,
497,0,0,0,0,0,0,0,1,,,,,,,,,,
498,1,0,0,1,,,,,,,,,,,,,,
499,1,0,1,,,,,,,,,,,,,,,
500,1,1,,,,,,,,,,,,,,,,
501,1,,,,,,,,,,,,,,,,,
502,1,1,,,,,,,,,,,,,,,,
503,1,,,,,,,,,,,,,,,,,
504,0,,,,,,,,,,,,,,,,,
505,1,1,1,1,1,,,,,,,,,,,,,
506,1,1,1,,,,,,,,,,,,,,,
507,0,1,0,,,,,,,,,,,,,,,
508,1,1,1,1,,,,,,,,,,,,,,
509,0,0,0,0,0,0,0,,,,,,,,,,,
510,0,,,,,,,,,,,,,,,,,
511,0,,,,,,,,,,,,,,,,,
512,1,1,,,,,,,,,,,,,,,,
513,1,0,,,,,,,,,,,,,,,,
514,1,1,0,0,,,,,,,,,,,,,,
515,0,0,,,,,,,,,,,,,,,,
516,0,0,,,,,,,,,,,,,,,,
517,0,0,0,0,1,,,,,,,,,,,,,
518,0,0,0,,,,,,,,,,,,,,,
519,1,,,,,,,,,,,,,,,,,
520,1,1,1,0,,,,,,,,,,,,,,
521,1,0,,,,,,,,,,,,,,,,
522,1,1,,,,,,,,,,,,,,,,
523,1,,,,,,,,,,,,,,,,,
524,1,,,,,,,,,,,,,,,,,
525,1,0,0,0,,,,,,,,,,,,,,
526,1,1,1,0,1,,,,,,,,,,,,,
527,1,1,0,,,,,,,,,,,,,,,
528,1,1,1,,,,,,,,,,,,,,,
529,1,,,,,,,,,,,,,,,,,
530,1,,,,,,,,,,,,,,,,,
531,1,1,1,1,1,1,1,,,,,,,,,,,
532,1,1,,,,,,,,,,,,,,,,
533,0,0,0,1,1,1,0,,,,,,,,,,,
