Donor,cell_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2,47,0,0,0,0,,,,,,,,,,,,,,
2,48,1,0,0,,,,,,,,,,,,,,,
2,49,1,1,1,1,,,,,,,,,,,,,,
2,50,1,0,1,0,,,,,,,,,,,,,,
2,51,1,1,1,1,1,,,,,,,,,,,,,
2,52,1,1,1,0,0,0,,,,,,,,,,,,
2,53,1,0,,,,,,,,,,,,,,,,
2,54,1,1,1,,,,,,,,,,,,,,,
2,55,1,,,,,,,,,,,,,,,,,
2,56,1,1,1,,,,,,,,,,,,,,,
2,57,1,0,,,,,,,,,,,,,,,,
2,58,1,1,0,,,,,,,,,,,,,,,
2,59,1,1,0,0,0,0,0,,,,,,,,,,,
2,60,0,0,,,,,,,,,,,,,,,,
2,61,0,0,0,0,0,0,0,0,,,,,,,,,,
2,62,1,0,0,0,,,,,,,,,,,,,,
2,63,0,1,0,1,,,,,,,,,,,,,,
2,64,0,1,0,,,,,,,,,,,,,,,
2,65,1,1,0,,,,,,,,,,,,,,,
2,66,1,1,1,,,,,,,,,,,,,,,
2,67,1,1,,,,,,,,,,,,,,,,
2,68,0,0,0,,,,,,,,,,,,,,,
2,69,1,1,1,0,0,,,,,,,,,,,,,
2,70,1,1,,,,,,,,,,,,,,,,
2,71,0,0,0,0,0,,,,,,,,,,,,,
2,72,1,0,0,0,0,0,0,0,0,0,,,,,,,,
2,73,1,1,,,,,,,,,,,,,,,,
2,74,1,,,,,,,,,,,,,,,,,
2,75,0,0,0,,,,,,,,,,,,,,,
2,76,0,0,0,,,,,,,,,,,,,,,
2,77,1,0,0,,,,,,,,,,,,,,,
2,78,1,1,0,0,0,,,,,,,,,,,,,
2,79,0,0,0,0,0,0,,,,,,,,,,,,
2,80,1,1,,,,,,,,,,,,,,,,
2,81,1,1,1,,,,,,,,,,,,,,,
2,82,0,0,1,,,,,,,,,,,,,,,
2,83,1,0,,,,,,,,,,,,,,,,
2,84,1,,,,,,,,,,,,,,,,,
2,85,1,1,,,,,,,,,,,,,,,,
2,86,0,,,,,,,,,,,,,,,,,
2,87,1,0,0,,,,,,,,,,,,,,,
2,88,1,,,,,,,,,,,,,,,,,
2,89,1,1,1,1,,,,,,,,,,,,,,
2,90,1,,,,,,,,,,,,,,,,,
2,91,,,,,,,,,,,,,,,,,,
2,92,1,1,,,,,,,,,,,,,,,,
2,93,1,,,,,,,,,,,,,,,,,
2,94,1,0,1,,,,,,,,,,,,,,,
2,95,1,,,,,,,,,,,,,,,,,
2,96,1,1,1,1,,,,,,,,,,,,,,
2,97,1,1,1,0,,,,,,,,,,,,,,
2,98,1,0,0,0,0,0,0,0,,,,,,,,,,
2,99,1,1,0,1,,,,,,,,,,,,,,
2,100,1,1,1,1,1,,,,,,,,,,,,,
2,101,0,0,,,,,,,,,,,,,,,,
2,102,1,1,,,,,,,,,,,,,,,,
2,103,0,1,1,,,,,,,,,,,,,,,
2,104,0,0,0,0,0,,,,,,,,,,,,,
2,105,1,,,,,,,,,,,,,,,,,
2,106,0,0,,,,,,,,,,,,,,,,
2,107,1,,,,,,,,,,,,,,,,,
2,108,1,0,0,0,0,,,,,,,,,,,,,
2,109,1,,,,,,,,,,,,,,,,,
2,110,1,1,1,,,,,,,,,,,,,,,
2,111,0,,,,,,,,,,,,,,,,,
2,112,1,,,,,,,,,,,,,,,,,
2,113,1,,,,,,,,,,,,,,,,,
2,114,1,0,0,,,,,,,,,,,,,,,
2,115,1,0,,,,,,,,,,,,,,,,
2,116,0,,,,,,,,,,,,,,,,,
2,117,0,1,,,,,,,,,,,,,,,,
2,118,1,1,0,,,,,,,,,,,,,,,
2,119,1,,,,,,,,,,,,,,,,,
2,120,1,0,,,,,,,,,,,,,,,,
2,121,1,1,,,,,,,,,,,,,,,,
2,122,0,,,,,,,,,,,,,,,,,
2,123,0,0,,,,,,,,,,,,,,,,
2,124,1,1,,,,,,,,,,,,,,,,
2,125,0,0,1,0,,,,,,,,,,,,,,
2,126,1,1,1,,,,,,,,,,,,,,,
2,127,1,1,1,,,,,,,,,,,,,,,
2,128,1,1,,,,,,,,,,,,,,,,
2,129,1,0,,,,,,,,,,,,,,,,
2,130,1,,,,,,,,,,,,,,,,,
2,131,0,0,0,,,,,,,,,,,,,,,
2,132,0,0,0,0,,,,,,,,,,,,,,
2,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,134,0,,,,,,,,,,,,,,,,,
2,135,0,0,0,,,,,,,,,,,,,,,
2,136,,,,,,,,,,,,,,,,,,
2,137,1,1,,,,,,,,,,,,,,,,
2,138,1,1,,,,,,,,,,,,,,,,
2,139,1,0,1,,,,,,,,,,,,,,,
2,140,0,1,0,0,,,,,,,,,,,,,,
2,141,1,1,1,,,,,,,,,,,,,,,
2,142,1,,,,,,,,,,,,,,,,,
2,143,1,0,,,,,,,,,,,,,,,,
2,144,1,1,1,1,,,,,,,,,,,,,,
2,145,1,1,1,,,,,,,,,,,,,,,
2,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,147,1,1,0,,,,,,,,,,,,,,,
2,148,1,,,,,,,,,,,,,,,,,
2,149,1,1,,,,,,,,,,,,,,,,
2,150,0,0,0,0,1,,,,,,,,,,,,,
2,151,1,,,,,,,,,,,,,,,,,
2,152,1,0,,,,,,,,,,,,,,,,
2,153,1,1,1,1,,,,,,,,,,,,,,
2,154,0,0,0,0,0,0,0,,,,,,,,,,,
2,155,1,1,,,,,,,,,,,,,,,,
2,156,1,,,,,,,,,,,,,,,,,
2,157,1,1,1,,,,,,,,,,,,,,,
2,158,1,1,1,1,,,,,,,,,,,,,,
2,159,1,1,1,,,,,,,,,,,,,,,
2,160,1,1,,,,,,,,,,,,,,,,
2,161,0,,,,,,,,,,,,,,,,,
2,162,1,1,1,1,,,,,,,,,,,,,,
2,163,1,1,1,0,1,0,,,,,,,,,,,,
2,164,1,0,1,,,,,,,,,,,,,,,
2,165,1,1,1,1,1,,,,,,,,,,,,,
2,166,0,0,,,,,,,,,,,,,,,,
2,167,1,,,,,,,,,,,,,,,,,
2,168,1,,,,,,,,,,,,,,,,,
2,169,1,,,,,,,,,,,,,,,,,
2,170,1,,,,,,,,,,,,,,,,,
2,171,1,,,,,,,,,,,,,,,,,
2,172,,,,,,,,,,,,,,,,,,
2,173,,,,,,,,,,,,,,,,,,
2,174,1,,,,,,,,,,,,,,,,,
2,175,,,,,,,,,,,,,,,,,,
2,176,1,1,,,,,,,,,,,,,,,,
2,177,1,1,0,,,,,,,,,,,,,,,
2,178,1,0,,,,,,,,,,,,,,,,
2,179,1,0,,,,,,,,,,,,,,,,
2,180,1,,,,,,,,,,,,,,,,,
2,181,1,0,0,1,0,0,0,0,0,0,,,,,,,,
2,182,0,,,,,,,,,,,,,,,,,
2,183,,,,,,,,,,,,,,,,,,
2,184,1,0,,,,,,,,,,,,,,,,
2,185,1,0,,,,,,,,,,,,,,,,
2,186,0,1,1,0,,,,,,,,,,,,,,
2,187,0,0,,,,,,,,,,,,,,,,
2,188,1,0,,,,,,,,,,,,,,,,
2,189,0,,,,,,,,,,,,,,,,,
2,190,0,0,0,0,,,,,,,,,,,,,,
2,191,1,1,,,,,,,,,,,,,,,,
2,192,1,1,1,1,,,,,,,,,,,,,,
2,193,,,,,,,,,,,,,,,,,,
2,194,1,1,0,,,,,,,,,,,,,,,
