Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,
277,1,0,1,,,,,,,,,,,,,,,
278,0,0,1,,,,,,,,,,,,,,,
279,1,1,0,,,,,,,,,,,,,,,
280,1,1,0,,,,,,,,,,,,,,,
281,0,0,,,,,,,,,,,,,,,,
282,1,1,1,1,1,1,,,,,,,,,,,,
283,1,1,0,,,,,,,,,,,,,,,
284,1,1,1,1,1,1,1,0,0,,,,,,,,,
285,0,0,0,,,,,,,,,,,,,,,
286,1,1,1,1,1,,,,,,,,,,,,,
287,1,1,0,1,,,,,,,,,,,,,,
288,1,,,,,,,,,,,,,,,,,
289,1,1,1,,,,,,,,,,,,,,,
290,1,1,1,,,,,,,,,,,,,,,
291,1,1,1,1,1,1,,,,,,,,,,,,
292,0,1,1,,,,,,,,,,,,,,,
293,1,,,,,,,,,,,,,,,,,
294,1,1,,,,,,,,,,,,,,,,
295,1,1,1,1,,,,,,,,,,,,,,
296,1,1,0,1,,,,,,,,,,,,,,
297,0,0,1,,,,,,,,,,,,,,,
298,0,0,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,
300,1,1,1,1,1,1,1,,,,,,,,,,,
301,1,1,1,1,1,1,,,,,,,,,,,,
302,0,0,0,0,0,,,,,,,,,,,,,
303,1,,,,,,,,,,,,,,,,,
304,1,1,1,1,1,,,,,,,,,,,,,
305,1,1,,,,,,,,,,,,,,,,
306,1,1,,,,,,,,,,,,,,,,
307,1,,,,,,,,,,,,,,,,,
308,1,1,,,,,,,,,,,,,,,,
309,1,,,,,,,,,,,,,,,,,
310,1,,,,,,,,,,,,,,,,,
311,1,1,1,1,,,,,,,,,,,,,,
312,1,1,1,,,,,,,,,,,,,,,
313,1,1,1,,,,,,,,,,,,,,,
314,0,1,1,1,0,,,,,,,,,,,,,
315,1,1,,,,,,,,,,,,,,,,
316,1,,,,,,,,,,,,,,,,,
317,1,1,1,1,0,0,,,,,,,,,,,,
318,1,1,0,1,1,1,1,,,,,,,,,,,
319,1,1,1,,,,,,,,,,,,,,,
